barangay,ndeath01_prop,nmaln05_prop,ndeath05_prop,nsquat_prop,nmsh_prop,nntsws_prop,nntstf_prop,nntkinder5_prop,nntelem611_prop,nnths1215_prop,nntelem612_prop,nnths1316_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,npovp_prop,nsubp_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_prop,dep_prop
Pagas,0.0,0.37735849056603776,0.0,0.6382978723404255,0.2127659574468085,0.0,0.0,20.967741935483872,9.859154929577464,18.29268292682927,16.40378548895899,27.10843373493976,35.064935064935064,28.037383177570092,1.5207131620346093,21.361702127659573,10.76595744680851,0.0,3.9003250270855903,0.0425531914893617,34.38297872340426,62.255319148936174
Palagay,0.0,1.3333333333333335,0.0,10.36878674505612,1.2827365045430252,1.2292891501870657,0.053447354355959376,36.11111111111111,8.936170212765958,16.666666666666664,19.78798586572438,24.615384615384617,33.84615384615385,14.935064935064934,1.8729096989966554,46.552645644040616,34.58043826830572,1.0689470871191877,4.866562009419153,0.10689470871191875,36.34420096205238,67.61090326028861
Pamaldan,0.0,1.7412935323383085,0.0,13.480885311871226,3.8229376257545273,0.2682763246143528,0.0,19.444444444444446,9.63855421686747,17.94871794871795,17.40976645435244,21.266968325791854,43.0,17.573221757322173,2.3386747509744477,53.31991951710262,37.79342723004695,2.1797451374916164,3.5315985130111525,0.0670690811535882,37.82696177062374,65.19114688128774
Pangatian,0.0,0.6451612903225806,0.0,6.75,2.5,0.0,0.04166666666666667,28.333333333333332,10.919540229885058,22.916666666666664,17.38035264483627,21.910112359550563,61.44578313253012,15.74074074074074,1.1853448275862069,41.0,19.291666666666664,0.8750000000000001,3.1839622641509435,0.0,37.375,65.79166666666667
Patalac,0.0,15.74468085106383,0.0,3.16622691292876,1.58311345646438,0.0,7.493403693931398,25.0,7.82608695652174,14.19753086419753,13.846153846153847,14.743589743589745,44.827586206896555,23.417721518987342,1.6589250165892502,21.108179419525065,11.50395778364116,0.0,1.834862385321101,0.0,36.09498680738786,66.12137203166228
Polilio,0.0,1.0714285714285714,0.0,10.419426048565121,1.5011037527593818,1.0596026490066226,0.4856512141280353,20.454545454545457,12.258064516129032,19.48717948717949,21.052631578947366,27.322404371584703,57.333333333333336,21.27659574468085,5.0675675675675675,57.48344370860927,41.63355408388521,3.487858719646799,4.247104247104247,0.04415011037527594,36.5121412803532,67.1523178807947
Pula,0.0,0.0,0.0,0.0,0.44603033006244425,0.0,0.0,53.84615384615385,9.574468085106384,33.33333333333333,14.545454545454545,29.850746268656714,57.14285714285714,19.587628865979383,0.5197505197505198,18.465655664585192,9.634255129348796,0.0,7.142857142857142,0.0,29.43800178412132,67.52899197145406
Quezon District (Pob.),10.0,0.0,1.5873015873015872,0.3988035892323031,1.296111665004985,0.29910269192422734,0.0,22.22222222222222,6.8493150684931505,23.52941176470588,15.555555555555555,31.03448275862069,36.58536585365854,61.016949152542374,2.132435465768799,27.81655034895314,22.233300099700898,0.3988035892323031,5.263157894736842,0.6979062811565304,25.324027916251246,64.10767696909272
Rizdelis (Pob.),0.0,4.918032786885246,0.0,3.0,2.166666666666667,0.0,1.0,31.25,14.893617021276595,23.52941176470588,22.22222222222222,28.947368421052634,68.18181818181817,29.230769230769234,4.536489151873767,25.333333333333336,12.666666666666668,0.0,2.1459227467811157,0.16666666666666669,30.5,62.0
Samon,3.0303030303030303,0.0,0.5494505494505495,1.8802228412256268,1.6016713091922006,2.1587743732590527,0.48746518105849584,41.37931034482759,10.526315789473683,25.954198473282442,19.742489270386265,30.327868852459016,59.64912280701754,23.308270676691727,3.9215686274509802,50.55710306406686,33.56545961002785,2.1587743732590527,7.6923076923076925,0.0,36.83844011142061,69.08077994428969
San Isidro,0.0,0.21598272138228944,0.0,1.426872770511296,1.5933412604042807,0.8799048751486327,6.634958382877527,34.177215189873415,10.495049504950495,23.19277108433735,19.36026936026936,30.79268292682927,41.95804195804196,23.415977961432507,6.334310850439882,24.209274673008323,13.293697978596908,0.2615933412604043,4.313205043132051,0.16646848989298454,34.74435196195006,65.7074910820452
San Josef Norte,1.7241379310344827,1.1019283746556474,0.27548209366391185,1.7368928916050175,1.8333869411386299,2.541009971051785,0.32164683177870695,22.727272727272727,10.149253731343283,16.528925619834713,21.975308641975307,27.586206896551722,41.34615384615385,22.641509433962266,4.006346687822293,33.12962367320682,19.170151174010936,0.4503055644901898,5.795847750865052,0.32164683177870695,34.83435188163397,64.97266001929881
San Josef Sur,0.0,2.166064981949458,0.0,6.374900079936051,1.7785771382893685,0.6594724220623501,0.09992006394884093,31.521739130434785,9.507042253521126,16.752577319587626,18.639053254437872,20.8,49.23076923076923,30.20408163265306,3.548546081813701,28.756994404476423,15.607513988808952,1.1590727418065547,6.886898096304591,0.15987210231814547,34.75219824140687,66.7665867306155
San Juan Pob. (Acofa),0.0,2.358490566037736,0.0,32.35073225685317,2.9665790461885093,0.0,0.07510326699211416,33.33333333333333,12.225274725274724,31.724137931034484,18.203309692671397,34.97652582159624,62.62135922330098,22.044088176352705,2.3719165085388996,28.407810739767182,15.54637626736763,0.5257228689447991,7.1797278273111225,0.0938790837401427,35.861809988734514,62.861434472399544
San Roque Norte,9.090909090909092,1.2658227848101267,1.2658227848101267,1.006711409395973,0.11185682326621924,1.342281879194631,0.0,6.666666666666667,12.0,12.068965517241379,20.689655172413794,20.33898305084746,37.03703703703704,36.84210526315789,2.4804177545691903,22.483221476510067,13.982102908277405,0.33557046979865773,5.099150141643059,0.33557046979865773,29.977628635346754,62.52796420581655
