barangay,nmaln05-prop,ndeath05-prop,nsquat-prop,nmsh-prop,nntsws-prop,nntstf-prop,nntkinder5-prop,nntelem612-prop,nnths1316-prop,nnths1617-prop,ntert1721-prop,nntliter10ab-prop,npovp-prop,nfshort-prop,nunempl15ab-prop,nvictcr-prop,age_dep_ratio,dep_ratio
Kapitan Pepe (Pob.),0.0,0.0,0.5912495072920773,0.2364998029168309,0.07883326763894363,0.0,20.0,22.46696035242291,21.16788321167883,40.0,29.629629629629626,0.6311992786293958,24.793062672447775,0.0,3.6259541984732824,0.0,0.43414358394573205,1.511881188118812
Lagare,1.25,0.4166666666666667,0.7253384912959381,1.6924564796905222,7.930367504835589,0.0,17.94871794871795,16.943521594684384,25.0,42.857142857142854,24.0,1.3205282112845138,42.649903288201166,2.1760154738878144,2.8688524590163933,0.04835589941972921,0.5537190082644629,1.908579465541491
Lourdes (Matungal-tungal),0.0,0.0,1.4658726523133303,2.977553825011452,0.45808520384791573,18.64406779661017,40.476190476190474,19.322033898305087,27.54491017964072,47.77777777777778,19.230769230769234,4.026845637583892,25.194686211635364,0.0,4.320203303684879,0.0,0.5086385625431928,1.899070385126162
M. S. Garcia,9.214501510574017,0.4531722054380665,1.3363028953229399,0.8723088344469191,0.0,0.0,29.565217391304348,17.223650385604113,26.180257510729614,53.91705069124424,20.840950639853748,1.1173184357541899,32.516703786191535,3.3221974758723087,6.326630701324179,0.03711952487008166,0.5603822762814944,1.8209424083769634
Mabini Extension,1.1450381679389312,0.0,3.639899972214504,1.2503473186996388,0.0,0.0,11.363636363636363,20.57142857142857,29.207920792079207,31.318681318681318,52.34375,2.496798975672215,15.143095304251181,0.41678243956654626,2.405498281786942,0.0,0.35148328952309427,1.5345070422535212
Mabini Homesite,0.0,0.0,0.9478672985781991,0.47393364928909953,0.1015572105619499,0.033852403520649964,24.242424242424242,18.944099378881987,20.707070707070706,43.15789473684211,36.91756272401434,0.550098231827112,18.009478672985782,0.0,5.612244897959184,0.0,0.4452054794520548,1.6612612612612612
Macatbong,1.5915119363395225,0.5305039787798408,3.496062992125984,4.283464566929133,0.0,0.47244094488188976,22.950819672131146,17.0995670995671,27.1523178807947,48.888888888888886,14.19141914191419,1.8189007512850928,44.09448818897638,2.677165354330709,3.8984587488667275,0.06299212598425197,0.5725606736007924,1.9952830188679245
Magsaysay District,0.8595988538681949,0.28653295128939826,2.180598266703942,12.049203242941012,0.02795638803466592,0.0,25.757575757575758,19.03765690376569,26.07003891050584,55.970149253731336,41.726618705035975,4.287643484132343,33.29605814928711,0.5032149846239866,3.3834586466165413,0.3075202683813251,0.4774886410574143,1.7836575875486382
Magsaysay South,2.380952380952381,0.0,2.4531024531024532,0.9620009620009621,0.0,0.0,22.22222222222222,18.96551724137931,29.770992366412212,34.40860215053764,61.282051282051285,3.128371089536138,16.113516113516113,1.1544011544011543,2.2222222222222223,0.0,0.32420382165605094,1.625
Maria Theresa,0.0,0.0,1.574803149606299,1.1023622047244095,0.0,0.0,0.0,13.793103448275861,41.17647058823529,37.93103448275862,40.35087719298245,2.697841726618705,8.976377952755906,0.0,2.5089605734767026,0.0,0.38344226579520696,1.3345588235294117
Matadero (Pob.),1.1627906976744187,1.1627906976744187,11.351351351351353,0.9729729729729729,0.0,0.6486486486486486,25.0,17.21311475409836,32.78688524590164,68.29268292682927,19.587628865979383,4.69361147327249,29.72972972972973,0.0,3.314917127071823,0.21621621621621623,0.4895330112721417,1.6428571428571428
Mayapyap Norte,0.0,0.0,1.1557177615571776,0.851581508515815,0.06082725060827251,0.30413625304136255,19.230769230769234,17.307692307692307,19.82758620689655,47.69230769230769,28.205128205128204,1.0324483775811208,28.649635036496353,0.0,4.077669902912621,0.0,0.47048300536672627,2.327935222672065
Mayapyap Sur,0.0,0.0,4.085027726432532,2.1256931608133085,0.0,0.14787430683918668,27.927927927927925,18.457300275482094,25.925925925925924,49.47916666666667,20.88122605363985,0.8703618873110398,46.89463955637708,0.03696857670979667,2.5128205128205128,0.018484288354898334,0.5364953138312979,1.8458705944239873
Melojavilla (Pob.),0.0,0.0,2.262443438914027,0.0,0.0,0.0,0.0,9.75609756097561,20.0,38.46153846153847,29.333333333333332,7.908163265306123,30.09049773755656,0.0,4.245283018867925,0.0,0.32335329341317365,1.1773399014778325
Nabao (Pob.),0.0,0.0,0.6546644844517185,0.8183306055646482,0.0,0.0,0.0,17.72151898734177,37.5,37.5,26.47058823529412,1.520912547528517,32.56955810147299,0.0,4.583333333333333,0.0,0.4444444444444444,1.668122270742358
Obrero,2.023121387283237,0.0,0.9457755359394703,0.725094577553594,2.742749054224464,0.6305170239596469,40.32258064516129,17.322834645669293,17.857142857142858,46.07843137254902,22.26027397260274,1.541501976284585,45.49180327868852,1.5132408575031526,3.342128408091469,0.031525851197982346,0.5526186979931473,1.886260236578708
Padre Burgos (Pob.),0.0,0.0,3.133903133903134,3.133903133903134,0.0,0.0,100.0,10.81081081081081,23.333333333333332,20.0,35.294117647058826,3.322259136212625,22.22222222222222,0.0,3.1645569620253164,0.8547008547008548,0.4153225806451613,1.2941176470588236
Padre Crisostomo,1.3071895424836601,0.4357298474945534,12.996941896024463,2.089704383282365,0.0,0.1783893985728848,30.76923076923077,16.173570019723865,26.595744680851062,42.95302013422819,24.213075060532688,4.45699937225361,18.883792048929664,0.1783893985728848,2.277163305139883,0.10193679918450561,0.49770992366412214,1.6125166444740346
Pagas,0.6896551724137931,0.0,0.5565862708719851,0.5565862708719851,0.3710575139146568,0.3710575139146568,23.4375,16.091954022988507,28.205128205128204,40.21739130434783,28.235294117647058,1.5363759602349751,24.897959183673468,0.3710575139146568,4.1516245487364625,0.03710575139146568,0.4889502762430939,1.5376647834274952
Palagay,2.8112449799196786,0.0,9.6045197740113,1.5065913370998116,1.0828625235404896,0.047080979284369114,38.46153846153847,17.28395061728395,25.0,35.13513513513514,15.254237288135593,1.8768328445747802,47.740112994350284,1.4124293785310735,4.900662251655629,0.09416195856873823,0.5629139072847682,1.958217270194986
Pamaldan,1.3888888888888888,0.0,10.914085914085913,3.171828171828172,0.1998001998001998,0.0,21.73913043478261,17.224080267558527,23.283582089552237,55.4054054054054,16.480446927374302,1.9242902208201893,56.31868131868132,4.670329670329671,4.037854889589906,0.04995004995004995,0.5763779527559055,1.6324786324786325
Pangatian,0.5698005698005698,0.0,6.548279689234185,2.4417314095449503,0.0,0.03699593044765076,35.294117647058826,18.036529680365295,24.285714285714285,63.44086021505376,14.342629482071715,1.1927480916030535,43.39622641509434,1.6278209396966332,3.7525354969574036,0.0,0.5909358446144791,1.8482613277133826
Patalac,16.141732283464567,0.0,4.33127082341742,1.8562589243217515,0.0,9.138505473584008,27.27272727272727,14.432989690721648,15.204678362573098,46.3768115942029,22.395833333333336,1.7303102625298328,23.607805806758687,0.0,2.28494623655914,0.0,0.5528455284552846,1.889958734525447
Polilio,0.949367088607595,0.0,9.905838041431261,1.28060263653484,1.2052730696798493,0.4143126177024482,26.0,20.293398533007334,30.493273542600896,60.550458715596335,18.106995884773664,4.8548310328415045,59.133709981167605,2.975517890772128,4.797441364605544,0.03766478342749529,0.5508177570093458,1.973124300111982
